GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
testtracker,test_tracker,TestViewer,1307,0,20,0,249,0,29,0,19,0
testtracker,test_tracker,Main,121,0,0,0,25,0,4,0,4,0
testtracker,test_tracker,VSphereUtil,32,0,0,0,8,0,2,0,2,0
testtracker,test_tracker,MenuBar,651,0,6,0,130,0,20,0,17,0
testtracker,test_tracker,DeletionBox,172,0,4,0,37,0,5,0,3,0
testtracker,test_tracker,Row,86,0,0,0,19,0,10,0,10,0
testtracker,test_tracker,ConfirmBox,114,0,0,0,27,0,3,0,3,0
testtracker,test_tracker,JmonViewer,276,0,10,0,47,0,9,0,4,0
testtracker,test_tracker,Table,46,0,0,0,16,0,8,0,8,0
testtracker,test_tracker,DatabaseUtil,831,0,54,0,213,0,51,0,24,0
testtracker,test_tracker,TestViewer.new EventHandler() {...},802,0,6,0,148,0,17,0,14,0
